Tipo de Publicacion,Tipo de Propiedad,Direccion,Numero de Piezas,Numero de Banos,M2 Utiles,M2 Totales,Precio en Pesos,Precio en UF,Fecha de Publicacion,Fecha de Extraccion,Lat,Lng,Estacionamiento Incluido,Bodega,Condicion,Codigo,Url
venta,departamento,"Excelente Departamento En Martin De Zamora, Las Condes",3.0,2.0,119.0,125.0,256490280.0,9000.0,2019-08-06,2020-03-06,-33.4177246,-70.5746536,True,,Usado,4988342,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4988342-excelente-departamento-en-martin-de-zamora-uda#position=41&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Cristobal Colon / Robinson Crusoe, Rotonda Atenas, Las Condes",3.0,3.0,85.0,102.0,193792656.0,6800.0,2019-07-26,2020-03-06,-33.4171906,-70.5553818,True,,Usado,4966873,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4966873-cristobal-colon-robinson-crusoe-uda#position=42&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Napoleon / Metro E Golf, Barrio El Golf, Las Condes",3.0,3.0,108.0,126.0,273589632.0,9600.0,2020-02-26,2020-03-06,-33.4177399,-70.5941238,True,,Usado,5458216,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5458216-napoleon-metro-e-golf-uda#position=43&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"300 Mt2 Totales, Orinoco, Est Esc. Militar, Ámplios Espacios, Metro Escuela Militar, Las Condes",3.0,3.0,138.0,298.0,527230020.0,18500.0,2019-10-04,2020-03-06,-33.411068,-70.5784073,True,,Usado,5111652,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5111652-300-mt2-totales-orinoco-est-esc-militar-amplios-espacios-uda#position=44&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Isidora - El Golf, Barrio El Golf, Las Condes",3.0,3.0,300.0,400.0,1054460040.0,37000.0,2019-10-10,2020-03-06,-33.4140358,-70.5926971,False,,Usado,5123919,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5123919-isidora-el-golf-uda#position=45&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Estadio Español - 2 Estacionamientos !!, Las Condes",3.0,2.0,116.0,132.0,299238660.0,10500.0,2020-01-06,2020-03-06,-33.4130846,-70.5778523,True,,Usado,,https://www.portalinmobiliario.com/MLC-518429106-departamento-en-venta-de-3-dormitorios-en-las-condes-_JM#position=46&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Martín De Zamora, Metro Escuela Militar, Las Condes",3.0,3.0,140.0,181.0,313203131.0,10990.0,2020-02-26,2020-03-06,-33.4202003,-70.5783005,True,,Usado,5457123,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5457123-martin-de-zamora-uda#position=48&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Espectacular Departamento En Último Piso En Charles Hamilton, Estoril, Las Condes",3.0,3.0,245.26,343.56,940464360.0,33000.0,2019-08-06,2020-03-06,-33.3891258,-70.5268631,True,,Usado,4988423,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4988423-espectacular-departamento-en-ultimo-piso-en-charles-hamilton-uda#position=49&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Vital Apoquindo / Almirante Soublette, Los Dominicos, Las Condes",3.0,2.0,125.0,144.0,265039956.0,9300.0,2020-01-09,2020-03-06,-33.4124527,-70.530098,True,,Usado,4998577,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4998577-vital-apoquindo-almirante-soublette-uda#position=50&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Parque Araucano, Metro Manquehue - Apumanque, Las Condes",3.0,2.0,160.0,,356236500.0,12500.0,2019-12-03,2020-03-06,-33.4054985,-70.5646973,True,,Usado,5253363,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5253363-parque-araucano-uda#position=2&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"El Golf, Barrio El Golf, Las Condes",3.0,3.0,290.0,,481631748.0,16900.0,2019-12-31,2020-03-06,-33.4109001,-70.5915985,False,,Usado,5318391,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5318391-el-golf-uda#position=3&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Avenida Américo Vespucio - Club Del Golf, Parque Arauco, Las Condes",3.0,3.0,160.0,260.0,521530236.0,18300.0,2020-02-07,2020-03-06,-33.4060631,-70.587059,True,,Usado,5082281,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5082281-avenida-americo-vespucio-club-del-golf-uda#position=4&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Hermanos Cabot / Las Tranqueras, Alto Las Condes, Las Condes",3.0,3.0,120.0,120.0,299238660.0,10500.0,2019-08-06,2020-03-06,-33.3935852,-70.5550919,False,,Usado,4988625,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4988625-hermanos-cabot-las-tranqueras-uda#position=6&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"El Golf, Barrio El Golf, Las Condes",3.0,2.0,180.0,,441733260.0,15500.0,2020-01-27,2020-03-06,-33.4164888,-70.5960293,True,,Usado,5387884,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5387884-el-golf-uda#position=7&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Los Dominicos - Luis Matte Larrain, Los Dominicos, Las Condes",3.0,2.0,140.0,164.0,333437364.0,11700.0,2019-08-13,2020-03-06,-33.4107399,-70.5327911,True,,Usado,5003987,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5003987-los-dominicos-luis-matte-larrain-uda#position=8&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Bocaccio / Paul Harris, Los Dominicos, Las Condes",3.0,2.0,75.0,150.0,240000000.0,0,2019-10-21,2020-03-06,-33.4006756,-70.5400937,False,,Usado,5147690,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5147690-bocaccio-paul-harris-uda#position=9&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"San Carlos De Apoquindo 2991, San Carlos De Apoquindo, Las Condes",3.0,2.0,100.0,190.0,279289416.0,9800.0,2020-02-25,2020-03-06,-33.4131012,-70.5070496,True,,Usado,5455316,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5455316-san-carlos-de-apoquindo-2991-uda#position=10&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Sector Vaticano, Vaticano, Las Condes",3.0,2.0,140.0,180.0,304368466.0,10680.0,2019-12-12,2020-03-06,-33.4246907,-70.5806699,True,,Usado,,https://www.portalinmobiliario.com/MLC-516594744-departamento-en-venta-de-3-dormitorios-en-las-condes-_JM#position=11&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Alcántara 154, Barrio El Golf, Las Condes",3.0,3.0,200.0,200.0,421784016.0,14800.0,2020-02-17,2020-03-06,-33.4169517,-70.5889075,True,,Usado,5431549,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5431549-alcantara-154-uda#position=12&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Callao 3151 - Departamento 202, Barrio El Golf, Las Condes",3.0,2.0,120.0,134.0,256490280.0,9000.0,2019-08-30,2020-03-06,-33.4190276,-70.5961877,True,,Usado,4899738,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4899738-callao-3151-departamento-202-uda#position=13&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Alonso De Camargo / Manquehue Sur / Colón., Rotonda Atenas, Las Condes",3.0,2.0,95.0,102.0,222291576.0,7800.0,2019-12-08,2020-03-06,-33.4189529,-70.5626068,True,,Usado,5202845,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5202845-alonso-de-camargo-manquehue-sur-colon-uda#position=14&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Burgos / Renato Sanchez, Barrio El Golf, Las Condes",3.0,3.0,160.0,160.0,367636068.0,12900.0,2019-11-18,2020-03-06,-33.4178391,-70.5871735,True,,Usado,5204183,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5204183-burgosrenato-sanchez-uda#position=16&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
venta,departamento,"Isabel La Católica, Las Condes",3.0,2.0,172.0,,273589632.0,9600.0,2020-01-10,2020-03-06,-33.4258695,-70.5702359,True,,Usado,5342493,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5342493-isabel-la-catolica-uda#position=17&type=item&tracking_id=98e18645-ee04-4944-914d-f985033ab5f5
